"exchange","exchange_token","trading_symbol","groww_symbol","name","instrument_type","segment","series","isin","underlying_symbol","underlying_exchange_token","expiry_date","strike_price","lot_size","tick_size","freeze_quantity","is_reserved","buy_allowed","sell_allowed","internal_trading_symbol","is_intraday"
"NSE",5578,"ACUTAAS","NSE-ACUTAAS","Acutaas Chemicals","EQ","CASH","EQ","INE00FF01025",,,,,1,0.1,,,1,1,"ACUTAAS-EQ",0
"NSE",7105,"TEGA","NSE-TEGA","Tega Industries","EQ","CASH","EQ","INE011K01018",,,,,1,0.1,,,1,1,"TEGA-EQ",0
"NSE",11896,"GEOJITFSL","NSE-GEOJITFSL","Geojit Finl. Service","EQ","CASH","EQ","INE007B01023",,,,,1,0.01,,,1,1,"GEOJITFSL-EQ",0
"NSE",758981,"RNBDENIMS","NSE-RNBDENIMS","R & B Denims","EQ","CASH","EQ","INE012Q01021",,,,,1,0.01,,,1,1,"RNBDENIMS-EQ",0
"NSE",25684,"JISLDVREQS","NSE-JISLDVREQS","Jain Irrigation - DVR","EQ","CASH","EQ","IN9175A01010",,,,,1,0.01,,,1,1,"JISLDVREQS-EQ",0
"NSE",10577,"KRBL","NSE-KRBL","KRBL","EQ","CASH","EQ","INE001B01026",,,,,1,0.05,,,1,1,"KRBL-EQ",0
"NSE",757,"CRISIL","NSE-CRISIL","CRISIL","EQ","CASH","EQ","INE007A01025",,,,,1,0.1,,,1,1,"CRISIL-EQ",0
"NSE",20322,"FEDFINA","NSE-FEDFINA","Fedbank Financial","EQ","CASH","EQ","INE007N01010",,,,,1,0.01,,,1,1,"FEDFINA-EQ",0
"NSE",756020,"TINNARUBR","NSE-TINNARUBR","Tinna Rubber","EQ","CASH","EQ","INE015C01016",,,,,1,0.05,,,1,1,"TINNARUBR-EQ",0
"NSE",2004,"AHLADA","NSE-AHLADA","Ahlada Engineers","EQ","CASH","EQ","INE00PV01013",,,,,1,0.01,,,1,1,"AHLADA-EQ",0
