"exchange","exchange_token","trading_symbol","groww_symbol","name","instrument_type","segment","series","isin","underlying_symbol","underlying_exchange_token","expiry_date","strike_price","lot_size","tick_size","freeze_quantity","is_reserved","buy_allowed","sell_allowed","internal_trading_symbol","is_intraday"
"NSE","NIFTY100","NIFTY100","NSE-NIFTY100","NIFTY 100","IDX","CASH",,"NIFTY100",,,,,,,,,0,0,,0
"NSE","NIFTYMIDCAP","NIFTYMIDCAP","NSE-NIFTYMIDCAP","NIFTY Midcap 100","IDX","CASH",,"NIFTYMIDCAP",,,,,,,,,0,0,,0
"NSE","NIFTY","NIFTY","NSE-NIFTY","NIFTY 50","IDX","CASH",,"NIFTY",,,,,,,,,0,0,,0
"NSE","NIFTYJR","NIFTYJR","NSE-NIFTYJR","NIFTY NEXT 50","IDX","CASH",,"NIFTYJR",,,,,,,,,0,0,,0
"NSE","BANKNIFTY","BANKNIFTY","NSE-BANKNIFTY","BANK NIFTY","IDX","CASH",,"BANKNIFTY",,,,,,,,,0,0,,0
"NSE","NIFTYMIDSELECT","NIFTYMIDSELECT","NSE-NIFTYMIDSELECT","Nifty Midcap Select","IDX","CASH",,"NIFTYMIDSELECT",,,,,,,,,0,0,,0
"NSE","NIFTYMIDSELECT","NIFTYMIDSELECT","NSE-NIFTYMIDSELECT","Nifty Midcap Select","IDX","CASH",,"NIFTYMIDSELECT",,,,,,,,,0,0,,0
"NSE","INDIAVIX","INDIAVIX","NSE-INDIAVIX","India Vix","IDX","CASH",,"INDIAVIX",,,,,,,,,0,0,,0
"NSE","NIFTYMETAL","NIFTYMETAL","NSE-NIFTYMETAL","NIFTY Metal","IDX","CASH",,"NIFTYMETAL",,,,,,,,,0,0,,0
"NSE","NIFTYPHARMA","NIFTYPHARMA","NSE-NIFTYPHARMA","NIFTY Pharma","IDX","CASH",,"NIFTYPHARMA",,,,,,,,,0,0,,0
"NSE","NIFTYAUTO","NIFTYAUTO","NSE-NIFTYAUTO","NIFTY Auto","IDX","CASH",,"NIFTYAUTO",,,,,,,,,0,0,,0
"NSE","NIFTYFMCG","NIFTYFMCG","NSE-NIFTYFMCG","NIFTY FMCG","IDX","CASH",,"NIFTYFMCG",,,,,,,,,0,0,,0
"NSE","NIFTYPSUBANK","NIFTYPSUBANK","NSE-NIFTYPSUBANK","NIFTY PSU Bank","IDX","CASH",,"NIFTYPSUBANK",,,,,,,,,0,0,,0
"NSE","NIFTYPVTBANK","NIFTYPVTBANK","NSE-NIFTYPVTBANK","NIFTY Private Bank","IDX","CASH",,"NIFTYPVTBANK",,,,,,,,,0,0,,0
"NSE","FINNIFTY","FINNIFTY","NSE-FINNIFTY","FINNIFTY","IDX","CASH",,"FINNIFTY",,,,,,,,,0,0,,0
"NSE","NIFTYREALTY","NIFTYREALTY","NSE-NIFTYREALTY","NIFTY Realty","IDX","CASH",,"NIFTYREALTY",,,,,,,,,0,0,,0
"NSE","NIFTYMEDIA","NIFTYMEDIA","NSE-NIFTYMEDIA","Nifty Media Index","IDX","CASH",,"NIFTYMEDIA",,,,,,,,,0,0,,0
"NSE","NIFTYTOTALMCAP","NIFTYTOTALMCAP","NSE-NIFTYTOTALMCAP","Nifty Total Market","IDX","CASH",,"NIFTYTOTALMCAP",,,,,,,,,0,0,,0
"BSE",1,"SENSEX","BSE-SENSEX","SENSEX","IDX","CASH",,"SENSEX",,,,,,,,,0,0,,0
"BSE",2,"BSE100","BSE-BSE100","Bse 100","IDX","CASH",,"BSE100",,,,,,,,,0,0,,0
"BSE",14,"BANKEX","BSE-BANKEX","BANKEX","IDX","CASH",,"BANKEX",,,,,,,,,0,0,,0
